,electricity_demand,temperature_2m,hour,day,month,day_of_week
electricity_demand,1.0,-0.03345080419926849,0.017898014019178933,0.002818179483481445,-0.017831180543949905,-0.03413207247585949
temperature_2m,-0.03345080419926849,1.0,0.10269900877949449,0.03173151122304153,0.15719025962885755,-0.003515078599323379
hour,0.017898014019178933,0.10269900877949449,1.0,-0.00031311533309332244,-0.0012508149155661557,0.0008089935229095575
day,0.002818179483481445,0.03173151122304153,-0.00031311533309332244,1.0,0.013284732398727567,-0.0023256134350605104
month,-0.017831180543949905,0.15719025962885755,-0.0012508149155661557,0.013284732398727567,1.0,0.007949718148156712
day_of_week,-0.03413207247585949,-0.003515078599323379,0.0008089935229095575,-0.0023256134350605104,0.007949718148156712,1.0
